,시군구명,4월,5월,6월,7월,8월,9월,10월,11월,12월,연 합계,연 평균
11000,서울시,301488592.42,658705724.1999999,1004466570.9499997,1360699090.8299994,1713583584.5399997,2054448226.158,2413321651.4979987,2761504658.0079985,3110316724.5379987,15378534823.141994,1708726091.4602215
11110,종로구,9854836.048299998,21586085.85739999,32370440.089999992,43028585.48139999,53408220.6828,63788242.593200006,75018049.6323,86009838.0284,96516758.69770002,481581057.1115,53509006.34572223
11140,중구,10095272.277199998,21885606.046399996,32782660.66800001,44333587.5064,55729819.29829998,66563531.77519998,78544402.1109,90430339.02880001,101688091.87620002,502053310.5874,55783701.17637778
11170,용산구,8696803.675699998,19049911.3274,28946065.108100004,39048436.4884,49055146.383099996,58703639.181699984,68981306.18549998,78729448.78069997,88685881.62139995,439896638.75199986,48877404.30577776
11200,성동구,9663271.3366,21117134.597600006,32094160.385000005,43263583.33630001,54414266.40560003,65305410.568100035,76869465.56850001,88161763.83319998,99389000.47919996,490278056.51010007,54475339.61223334
11215,광진구,10951336.061600003,23992985.230700005,36556653.115100004,49216639.001600005,61862850.418699995,74324637.53709999,87329189.27769995,99948841.29599994,112638671.50349991,556821803.4419998,61869089.27133331
11230,동대문구,10772991.7005,23449631.370200004,35664980.4591,47774900.24080002,59819289.29130003,72050880.94570003,84879889.673,97305287.46409997,109639703.86469997,541357555.0094,60150839.44548889
11260,중랑구,9605844.348000003,21027759.286500007,32138686.338100005,43636466.22380002,55072507.927000016,66250785.533,77729489.7434,88798371.83520001,100089639.62670003,494349550.86170006,54927727.87352223
11290,성북구,12260571.7283,26770420.700499997,40629173.089999996,54438876.232399985,68123701.0054,81851992.91610001,96235693.38370001,110181741.98230003,124252665.93200001,614744836.9707,68304981.88563333
11305,강북구,8151897.070599999,17836763.9243,27299286.655600008,37056305.502100006,46701730.46910002,56107965.34590002,65749828.87740002,75069076.04380004,84395034.72160004,418367888.6104002,46485320.956711136
11320,도봉구,7783662.386,17076889.198999997,26166218.109500002,35502699.98730001,44722003.99290001,53740383.762000024,62995605.71260003,71909491.74840002,81031824.2954,400928779.1931001,44547642.132566676
11350,노원구,14111142.943500001,30676573.1363,46745671.132999994,63104277.83199999,79356143.0459,95412918.11129999,112053310.52460003,128132599.98760006,144322426.07760006,713915062.7918,79323895.86575556
11380,은평구,11869493.901900003,25952640.082900003,39710885.122899994,53855925.566999994,67870577.0505,81544971.4534,95630004.47639999,109240124.22519998,122997701.58529995,608672323.4654999,67630258.16283332
11410,서대문구,10674677.833099999,23501734.680800002,36154202.7671,49082749.1646,61679571.07899999,74153193.12649998,87388329.9411,100128775.05490004,113020978.84790002,555784212.495,61753801.388333336
11440,마포구,13396671.4959,29378122.944300003,44651919.796100006,60408368.2578,76248825.4477,91535986.871,107875684.28909999,123342075.28749998,138889638.5722,685727292.9616001,76191921.44017778
11470,양천구,10647409.150300002,23123304.317800004,35403150.400100015,48071836.215300016,60592149.82220002,72689168.04690003,85189180.40680005,97279906.58530006,109498124.4846001,542494229.4293003,60277136.60325559
11500,강서구,14667008.0219,32115836.0383,49161422.29270002,66887062.65220001,84471207.43100001,101340768.05459999,118972902.80970001,136078962.8641,153441363.97650003,757136534.1410002,84126281.57122225
11530,구로구,11287300.427999998,24743095.131799996,37804252.56559999,51364184.397299975,64744991.33689996,77688124.50919993,91153446.83099993,104167661.57829994,117313823.93459995,580266880.7126997,64474097.85696663
11545,금천구,6397632.4109000005,13914595.907700006,21181451.862300005,28834550.0698,36396421.55319999,43564812.52580002,51069267.47130001,58416926.436,65787296.197799996,325562954.4348,36173661.60386667
11560,영등포구,13995778.0154,30421732.6493,46235354.676800005,62916252.0995,79382818.79020001,94908271.92549999,111345860.97629997,127609259.20419997,143585249.29300004,710400577.6301999,78933397.51446666
11590,동작구,11287056.511,24627539.3928,37553151.8086,50668856.503499985,63731323.1135,76578951.80700001,90144846.60760003,103288444.46740003,116380770.4418,574260940.6532,63806771.183688894
11620,관악구,13742457.0648,30071102.950200003,46015902.910799995,62364567.626099996,78526136.81739998,94132986.04410002,110484353.14760001,126160372.62520002,142140237.4718,703638116.658,78182012.962
11650,서초구,16462993.7706,36014273.34589999,54990700.602699995,74835676.50279999,94432459.63969997,112807543.13509993,132189310.11679992,151217594.9769999,170122739.53669998,843073291.6272997,93674810.18081108
11680,강남구,22309730.666099995,48557469.98009999,74218943.3501,101425991.13789998,128220429.34209996,152766797.53249988,179341599.79959983,205500941.0238999,231283869.4424999,1143625772.2747996,127069530.25275551
11710,송파구,19988061.961699996,43755933.44769998,66994398.65529997,91129727.53609996,115245557.57949999,138109467.87420002,162283156.59379998,185689778.8377,209364863.15940002,1032560945.6453998,114728993.96059997
11740,강동구,12814691.615400001,28058582.661599997,42996838.997,58448985.30129998,73775436.65209998,88526794.99559999,103867477.36439995,118707034.81359994,133840368.89009996,661036211.2910998,73448467.92123331
