시군구명,지점번호,지점명,합계,
서대문구,A-01,성산로 (금화터널),70968,
종로구,A-02,사직로 (사직터널),78237,
종로구,A-03,자하문로 (자하문터널),33792,
용산구,A-04,대사관로 (삼청터널),12793,
종로구,A-05,율곡로 (안국역),59958,
종로구,A-06,창경궁로 (서울여자대학교),42976,
종로구,A-07,대학로 (한국방송통신대학교),39126,
종로구,A-08,종로 (동묘앞역),53223,
중구,A-09,퇴계로 (신당역),48783,
중구,A-10,동호로 (장충체육관),68290,
중구,A-11,장충단로 (장충단공원),55398,
중구,A-12,퇴계로 (회현역),32875,
중구,A-13,세종대로 (서울역),62856,
종로구,A-14,새문안로 (서울역사박물관),49446,
종로구,A-15,종로 (종로3가역),46469,
중구,A-16,서소문로 (시청역),51168,
중구,A-17,세종대로 (시청역2),79221,
중구,A-18,을지로 (을지로3가역),35238,
중구,A-19,칠패로 (숭례문),19158,
용산구,A-20,남산1호터널,69174,
중구,A-21,남산2호터널,27261,
용산구,A-22,남산3호터널,39325,
용산구,A-23,소월로 (회현역),15582,
중구,A-24,소파로 (숭의여자대학교),15070,
도봉구,B-01,도봉로 (도봉산역),55520,
광진구,B-03,아차산로 (워커힐),31681,
노원구,B-06,화랑로 (조선왕릉),45702,
중랑구,B-07,북부간선도로 (신내IC),128022,
강동구,B-09,천호대로 (상일IC),82115,
강동구,B-10,올림픽대로 (강일IC),199281,
서초구,B-11,경부고속도로 (양재IC),192632,
송파구,B-12,송파대로 (복정역),63996,
강남구,B-13,밤고개로 (세곡동사거리),46886,
송파구,B-14,분당수서로 (성남시계),112566,
서초구,B-15,과천대로 (남태령역),66936,
서초구,B-17,반포대로 (우면산터널),69553,
금천구,B-18,시흥대로 (석수역),92896,
구로구,B-19,금오로 (광명시계),12055,
구로구,B-20,오리로 (광명시계),30394,
구로구,B-21,개봉로 (개봉교),28324,
금천구,B-22,광명대교 (광명시계),35484,
금천구,B-23,철산교 (광명시계),45754,
금천구,B-24,금천교 (광명시계),59893,
강서구,B-26,오정로 (부천시계),26125,
양천구,B-27,화곡로 (화곡로입구),38481,
양천구,B-28,경인고속국도 (신월IC),171061,
구로구,B-30,신정로(작동터널),48451,
강서구,B-32,올림픽대로 (개화IC),170904,
은평구,B-34,서오릉로 (고양시계),37883,
은평구,B-35,수색로 (고양시계),44692,
마포구,B-36,강변북로 (난지한강공원),252541,
강서구,C-01,행주대교,106390,
마포구,C-03,가양대교,124410,
마포구,C-04,성산대교,172458,
마포구,C-05,양화대교,149152,
영등포구,C-06,서강대교,49422,
영등포구,C-07,마포대교,125571,
영등포구,C-08,원효대교,59184,
용산구,C-09,한강대교,96648,
용산구,C-10,동작대교,64761,
서초구,C-11,반포대교,104017,
서초구,C-12,잠수교,20720,
강남구,C-13,한남대교,210198,
성동구,C-14,동호대교,81785,
성동구,C-15,성수대교,132669,
광진구,C-16,영동대교,132724,
강남구,C-17,청담대교,129932,
송파구,C-18,잠실대교,99704,
송파구,C-19,올림픽대교,67865,
송파구,C-20,천호대교,83197,
강동구,C-21,광진교,16934,
종로구,D-01,진흥로 (구기터널),46704,
종로구,D-02,평창문화로 (북악터널),45746,
중구,D-03,동호로 (금호터널),68451,
용산구,D-04,서빙고로 (한남역),92374,
성동구,D-05,천호대로 (군자교),88166,
성동구,D-06,뚝섬로 (용비교),69442,
광진구,D-07,동일로 (군자교),69925,
성북구,D-08,화랑로 (상월곡역),70994,
성북구,D-09,동소문로 (길음교사거리),59831,
노원구,D-10,화랑로 (화랑대역),68491,
도봉구,D-11,도봉로 (쌍문역),47962,
노원구,D-12,동부간선도로 (월계1교),120185,
노원구,D-13,동일로 (노원역),44400,
은평구,D-14,증산로 (디지털미디어시티역),72467,
서대문구,D-15,통일로 (산골고개정류장),67131,
서대문구,D-16,성산로 (연희IC),81827,
서대문구,D-17,연희로 (연희IC),37407,
강서구,D-18,남부순환로 (화곡로입구   교차로),73750,
양천구,D-19,남부순환로 (신월IC),112480,
강서구,D-20,강서로 (화곡터널),39923,
강서구,D-21,공항대로 (발산역),55298,
구로구,D-22,경인로 (오류IC),50370,
구로구,D-23,경인로 (거리공원입구교차로),54116,
금천구,D-24,시흥대로 (시흥IC),85063,
영등포구,D-25,영등포로 (오목교),60525,
영등포구,D-26,시흥대로 (구로디지털단지역),79366,
영등포구,D-27,국회대로 (여의2교),66191,
구로구,D-28,경인로 (서울교),94691,
영등포구,D-29,여의대방로 (여의교),90192,
동작구,D-30,양녕로 (상도터널),73391,
서초구,D-31,동작대로 (총신대입구역),91084,
관악구,D-32,문성로 (난곡터널),18411,
관악구,D-33,남부순환로 (낙성대역),101960,
서초구,D-34,남부순환로 (예술의전당),96030,
서초구,D-35,강남대로 (강남역-신분당),58497,
서초구,D-36,사평대로 (고속터미널역),92933,
서초구,D-37,반포대로 (서초역),87362,
강남구,D-38,언주로 (매봉터널),64513,
강남구,D-39,남부순환로 (수서IC),100965,
강남구,D-40,헌릉로 (세곡동사거리),64100,
강남구,D-41,노들로,64306,
강남구,D-42,테헤란로 (선릉역),75537,
강남구,D-43,강남대로 (신사역),76324,
송파구,D-44,백제고분로 (종합운동장),37884,
송파구,D-45,송파대로 (송파역),79863,
동작구,F-01,올림픽대로,254555,
용산구,F-02,강변북로,245296,
성북구,F-03,내부순환로,151870,
성북구,F-04,북부간선도로,113707,
중랑구,F-05,동부간선도로,142332,
서초구,F-06,경부고속도로,205078,
강남구,F-07,분당수서로,139487,
금천구,F-08,강남순환로 (관악터널),71498,
영등포구,F-09,서부간선도로,109027,
